分支,完整HEAD,最近提交日期,是否为四窗口组合祖先,相对共同基点修改的代码文件数,与四窗口组合内容不同的代码文件数,解释口径
codex/four-window-mp-urlparams-20260926,a97e11b58f7bafde005bdc4509e6308a305c3213,2026-09-26,否,18,0,代码已逐字相同或无代码改动
codex/four-window-paipan-mode-gate-20260926,db1dfde9d0e70ccdd73363f9cee446e0d17cdcd9,2026-09-26,否,2,0,代码已逐字相同或无代码改动
codex/four-window-precursor-review-20260923,66e395efdc579807bc40e07e43b5c103e12bf7fb,2026-09-26,是,0,0,当前组合祖先
codex/four-window-release-review-20260926,5b9dc8739307f511b5ad217bc1daa0d0a2b6b3a6,2026-09-26,是,0,0,当前组合祖先
codex/gift-validation-20260921,c6125e68315fbabad6dd0cb03c8429671e8dd676,2026-09-21,否,0,0,代码已逐字相同或无代码改动
codex/h5-cashier-streamline-20260914,a508d76cbe891cb69d8ba4458a2e5d029f4b6c49,2026-09-14,是,0,0,当前组合祖先
codex/h5-domain-config-20260911,360ac6d3b7fd608976335f7f99bed43cc1c63dd1,2026-09-12,是,0,0,当前组合祖先
codex/h5-existing-order-cashier-20260913,abcf5a7ed510ba4b074377c0f1b159461bb71774,2026-09-13,是,0,0,当前组合祖先
codex/h5-huifu-error-preserve-20260913,1b312e411bb3c0c5e9be592122f7ab60c83a718f,2026-09-13,是,0,0,当前组合祖先
codex/h5-legacy-entry-20260910,e50de752d1c6f3295a05a31aceddabbeeb0a8030,2026-09-12,否,20,2,机械差异，待业务核对
codex/h5-payment-device-auth-20260913,0a24879248bd5f3c84a6005c73d0ba5d4aa9e66e,2026-09-13,是,0,0,当前组合祖先
codex/home-card-receive-20260926,db6eaf2813585e62108ecbb20d4489a06c5e42f9,2026-09-26,否,4,4,机械差异，待业务核对
codex/home-feed-card-refresh-20260922,84c082ef4c53e70b3b8953176af6b2109723108b,2026-09-23,否,90,43,机械差异，待业务核对
codex/huifu-android-native-20260913,a3bc956d44609ec37b13dd45be4f73518f78ee0c,2026-09-13,否,8,7,机械差异，待业务核对
codex/huifu-payment-intent-20260913,ab822befd8fcaa958df1065c5bf9b9f6eddae1c0,2026-09-13,否,7,7,机械差异，待业务核对
codex/integrated-live-gift-paipan-pay-20260920,420e471e0202dca9be808f2c915a4fd2f9f9ee6f,2026-09-23,否,0,0,代码已逐字相同或无代码改动
codex/integrated-three-candidates-20260919,e28c918ec19605d0070cf69b3121af445528975b,2026-09-19,否,35,16,机械差异，待业务核对
codex/launch-analysis-cleanup-20260913,8279e23580b411d4594a929f30f100d3e4bab850,2026-09-13,否,1,1,机械差异，待业务核对
codex/launch-experience-audit-20260908,54cfdd0872e527b414bf82624233c3c3e4e48692,2026-09-09,否,35,35,机械差异，待业务核对
codex/launch-v238-browserslist-20260902,f380c5e8dfecdceb3e654781d900a7f328cbb8f2,2026-09-02,是,0,0,当前组合祖先
codex/launch-v240-bigscreen-auth-fix-20260903,45c7b37446a78625b531a12004eb7257b2eaba15,2026-09-03,是,0,0,当前组合祖先
codex/launch-v240-screen-permission-state-20260903,66f65785e420ab3298a62c855219554419cf196a,2026-09-03,是,0,0,当前组合祖先
codex/launch-v240-topic-selection-reset-20260903,cd0550847a48aa0d672c0228aeb1448d410e57dc,2026-09-03,是,0,0,当前组合祖先
codex/launch-v240-topics-unified-20260903,9bb2971c2641f6c360c59f380187e71737c997dc,2026-09-03,是,0,0,当前组合祖先
codex/launch-v240-unified-20260903,a7d45fc905fc45587e5bd055a0e766525e14cf60,2026-09-03,是,0,0,当前组合祖先
codex/legacy-bridge-protocol-v243-followup,566b26fcbd4fb987e040192f145bd52bdf382fcc,2026-09-06,否,513,513,机械差异，待业务核对
codex/legacy-share-native-706-20260903,6a4b733a3a356f8b74e7489658f794ec2cee04e7,2026-09-03,是,0,0,当前组合祖先
codex/live-gift-anim-20260919,b5556caf00f39d1faf35b570f7331e21bfb2d764,2026-09-19,否,0,0,代码已逐字相同或无代码改动
codex/live-gift-l1l2-20260919,0e61fe8f5d436d574a8875f00bb917e7cb5fd5d1,2026-09-20,否,18,14,机械差异，待业务核对
codex/mobile-paipan-compass-v243-20260905,566b26fcbd4fb987e040192f145bd52bdf382fcc,2026-09-06,否,513,513,机械差异，待业务核对
codex/mobile-paipan-native-bridge-20260904,a1cb87bd46913ed3bd2a0f8e85f8bcbbce4c82de,2026-09-04,否,25,25,机械差异，待业务核对
codex/mobile-v239-journey-successor-20260903,2edaa342d4837161a46210a214d58811bee3ee92,2026-09-02,是,0,0,当前组合祖先
codex/mobile-video-cover-native-layer-fix-20260902,88efd080684253d5ee327c585aea230768a322fe,2026-09-02,是,0,0,当前组合祖先
codex/notification-audit-candidate,b552fe9427084df69e0a7da8bd9409fa924e6ae1,2026-09-21,否,6,6,机械差异，待业务核对
codex/notification-audit-integration-20260921,03aa7146b58b48e8b8f27e693cb90e72fe719d27,2026-09-21,否,6,6,机械差异，待业务核对
codex/paipan-engine-migration-20260922,c02cf2cf8b9cacee2bef98f837f23e4e5133af2a,2026-09-22,是,0,0,当前组合祖先
codex/paipan-poetry-continuation-20260922,7890748575e5fa1d29ea417b1fd4c2a5b899c3f4,2026-09-26,否,7,7,机械差异，待业务核对
codex/paipan-public-result-probe-20260926,50ac74d09594b979ef19068424fee066e844bb11,2026-09-26,否,4,1,机械差异，待业务核对
codex/paipan-share-diagnostic-20260926,6694899f0e031355cd78418a1dd04f223493dd5f,2026-09-26,否,1,1,机械差异，待业务核对
codex/paipan-share-url-runtime-fix-20260926,c5ca0fcb990c47edb048029e9d5a18df619adbf0,2026-09-26,否,4,0,代码已逐字相同或无代码改动
codex/payment-apple-safety-20260913,96cd23c67df5c3328017d601de8c7796c896f407,2026-09-13,否,5,5,机械差异，待业务核对
codex/payment-integrated-safety-20260913,128a00fca534ce0fddfcaf67316bb3764970dafc,2026-09-13,否,12,12,机械差异，待业务核对
codex/payment-order-cutoff-20260913,904ca12143e4060b3906a9b0b9ff591d75307305,2026-09-13,否,19,19,机械差异，待业务核对
codex/preprod-admin-ai-acceptance-20260901,1cf4d65181fca4b319408087b02edbf2d338b9e0,2026-09-02,否,3,1,机械差异，待业务核对
codex/release-gap-audit-20260926,58f51644310888d57d90159981f2bc7f4c6200f3,2026-09-26,否,0,0,代码已逐字相同或无代码改动
codex/release-safety-receive-20260926,f58fcf94a487f0356cd0e2ae81c6adb8c7f1c1f9,2026-09-26,否,11,11,机械差异，待业务核对
codex/server-v239-journey-successor-20260903,7063381f7ab02dc561c32a754082f10e27989cc4,2026-09-02,是,0,0,当前组合祖先
codex/ux-circle-live-20260918,5f2bb23a7b05f2368f255e1a1ab05e9271cc3b71,2026-09-18,否,7,6,机械差异，待业务核对
codex/wechat-h5-entry-20260908,8b0e319dfed5a452bc6b0c8b6a76605ef2866dc3,2026-09-08,否,2,2,机械差异，待业务核对
codex/wechat-mini-phone-login-20260904,cb8b1afd9fe2b12444b6a863f40eb316a1508b8d,2026-09-04,否,20,20,机械差异，待业务核对
codex/wechat-oauth-minimal-rollback-20260909,d733cf35899013ce5933575eb2db4dddcd8a2281,2026-09-09,否,2,2,机械差异，待业务核对
codex/wechat-oauth-route-fix-20260909,3e70d22c91ed83542338fc017e405509839d707c,2026-09-09,否,9,9,机械差异，待业务核对
codex/wechat-oauth-route-fix-cd055-20260909,0aaf3dbbe59fa5a46ac4e125b3973ae880db1e2c,2026-09-09,否,2,2,机械差异，待业务核对
codex/wechat-oauth-static-callback-20260909,45cb900d69777dfced01b3a17a64be8428c61835,2026-09-09,否,3,3,机械差异，待业务核对
codex/wechat-pay-top-level-20260910,287e7f3ff153b64f419115a8a4220905f1e44de1,2026-09-10,是,0,0,当前组合祖先
codex/xiaobu-hardware-handoff-20260922,76f40eaf95a632ad885ef64c5f0e78013f4d8544,2026-09-23,是,0,0,当前组合祖先
codex/xiaobu-noncommercial-closure-20260921,4ca9ade61e2fde2804faccd1b5d32d8788afab8b,2026-09-22,是,0,0,当前组合祖先
receive/feedback-admin-c-20260918,53be8719972cb39a05c899db7427a8a8011e110a,2026-09-19,否,21,6,机械差异，待业务核对
receive/integrated-three-20260919,c0035a8f4e5c9e9bb26a0c8f0e99060a714818f2,2026-09-20,是,0,0,当前组合祖先
receive/live-gift-l1l2-20260920,be1edd7a9ea8d551b20c0ae2a04c4b6a054d2082,2026-09-20,否,7,1,机械差异，待业务核对
